institution_name,inst_type,institution_city,state_abbv
"National Athletic Trainers'  Association, Inc.",Other,Dallas,TX
"The Lutheran University Association, Inc. d/b/a Valparaiso University",University,Valparaiso,IN
Texas Woman's University Former Students Association,Alumni Association,Denton,TX
ASM International,Other,Materials Park,OH
Association of Surgical Technologists,Other,Englewood,CO
National Association of School Psychologists,Other,Bethesda,MD
Kappa Delta Pi An International Honor Society in Education,Other,Indianapolis,IN
"Salisbury University Foundation, Inc.",Foundation,Salisbury,MD
Suffolk University and Suffolk University Law School,University,Boston,MA
Brooklyn College Alumni Association,Alumni Association,Brooklyn,NY
Northwestern State University Alumni Association,Alumni Association,Natchitoches,LA
John Carroll University,University,University Heights,OH
"Rollins College Alumni Association, Inc.",Alumni Association,Winter Park,FL
American Health Information Management Association,Other,Chicago,IL
International Chiropractors Association,Other,Arlington,VA
"National Alumnae Association of Spelman College, Inc.",Alumni Association,Atlanta,GA
American Library Association,Other,Chicago,IL
University of Massachusetts-Boston,University,Boston,MA
The George Washington Alumni Association,Alumni Association,Washington,DC
St. John's University,University,Collegeville,MN
"The University of California, San Francisco Alumni Association",Alumni Association,San Francisco,CA
University of Texas at Dallas Alumni Association,Alumni Association,Dallas,TX
Babson College Alumni Association and Babson College,"Alumni Association, University",Wellesley,MA
Beta Alpha Psi,Other,New York,NY
University of San Francisco,University,San Francisco,CA
Alpha Xi Delta Fraternity,Other,Indianapolis,IN
"The University Corporation, San Francisco State",University,San Francisco,CA
Alumni Associationof the City College of New York,Alumni Association,New York,NY
Widener University,University,Chester ,PA
"California Polytechnic State University Alumni Association, San Luis Obispo",Alumni Association,San Luis Obispo,CA
Emporia State University Alumni Association,Alumni Association,Emporia,KS
Delta Sigma Phi Fraternity,Other,Indianapolis,IN
Delta Tau Delta Fraternity,Other,Fishers,IN
Phi Kappa Theta National Fraternity,Other,Carmel,IN
University of Central Arkansas Alumni Association,Alumni Association,Conway ,AR
"Morehead State University Alumni Association, Inc.",Alumni Association,Morehead,KY
Mount St. Mary's University ,University,Emmitsburg,MD
Norwich University Alumni Association,Alumni Association,Northfield,VT
McNeese State University Alumni Association,Alumni Association,Lake Charles,LA
Phi Sigma Sigma Foundation,Foundation,Elkridge,MD
Angelo State University Ex-Students Association,Alumni Association,San Angelo,TX
Southern Utah University Alumni Association,Alumni Association,Cedar City,UT
