institution_name,inst_type,institution_city,state_abbv
UMKC School of Nursing,University,Kansas City,MO
UMKC School of Pharmacy,University,Kansas City,MO
University of Wisconsin Milwaukee Alumni Association,Alumni Association,Milwaukee,WI
Wayne State University Alumni Assocation ,Alumni Association,Detroit,MI
University of Hartford Alumni Association,Alumni Association,West Hartford,MA
University Louisiana Lafayette Alumni Association,Alumni Association,Lafayette,LA
Southern Illinois University Alumni Association,Alumni Association,Carbondale,IL
"University of Florida Alumni Assicuatuibm Inc., University of Florida Foundation, Inc. and The University Athletic Association, Inc. ","Alumni Association, Foundation, Other",Gainesville,FL
Miner Alumni Association(MO University of S&T),Alumni Association,Rolla,MO
University of Nebraska Omaha Alumni Association,Alumni Association,Omaha,NE
Weber State Alumni Association,Alumni Association,Ogden,VT
"SUNY College at Oneonta Alumni Association, Inc. ",Alumni Association,Oneonta,NY
"Slippery Rock State University Foundation, Inc.",Foundation,Slippery Rock,PA
University of North Alabama Alumni Association,Alumni Association,Florence,AL
University of Wisconsin Stevens Point Alumni Association,Alumni Association,Stevens Point,WI
SUNY  Cortland Alumni Association,Alumni Association,Cortland,NY
The Alumni Associationof the State University College at Potsdam,Alumni Association,Potsdam,NY
Binghamton University Alumni Association,Alumni Association,Binghamton,NY
University of Colorado at Colorado Springs Alumni Association,Alumni Association,Colorado Springs,CO
University of North Florida Alumni Association,Alumni Association,Jacksonville,FL
"Alpha Phi Delta Foundation, Inc.",Other,Pittsburgh,PA
University of Texas at San Antonio Alumni Association,Alumni Association,San Antonio,TX
Del Mar College Foundation/Alumni Association,Alumni Association,Corpus Christi,TX
Park University,University,Kansas City,MO
Barton College,Alumni Association,Wilson,NC
UMKC School of Computing and Engineering,University,Kansas City,MO
The Kansas University Alumni Association,Alumni Association,Lawrence,KS
Oregon State University Alumni Association,Alumni Association,Corvallis,OR
Duke University Alumni Association,Alumni Association,Durham,NC
"Crimson Tide Sports Marketing, LLC",Other,Tuscaloosa,AL
University of Massachusetts Amherst Alumni Association,Alumni Association,Amherst,MA
Alumni Associationof the University of Oregon,Alumni Association,Eugene,OR
University of Denver and the Denver Alumni Association,"Alumni Association, University",Denver,CO
Ole Miss Alumni Association,Alumni Association,Oxford,MS
Western Kentucky University Alumni Association,Alumni Association,Bowling Green,KY
MIT Alumni Association,Alumni Association,Cambridge,MA
California State University Northridge Alumni Association,Alumni Association,Northridge,CA
Wright State University Alumni Association,Alumni Association,Fairborn,OH
U.S. Coast Guard Academy Alumni Association,Alumni Association,New London,CT
University of Mary Washington Alumni Association and University of Mary Washington Foundation ,"Alumni Association, Foundation",Fredricksburg,VA
The Principia,University,St Louis,MO
Jacksonville State University Alumni Association,Alumni Association,Jacksonville,AL
Arkansas State University Alumni Association,Alumni Association,Jonesboro,AR
"Westfield State College Foundation, Inc. ",Foundation,Westfield,MA
"Lambda Theta Nu Sorority, Inc.",Other,San Diego,CA
The Associated Alumnae and Alumni of the Sacred Heart,Alumni Association,St. Louis,MO
Sigma Phi Delta Fraternity,Other,Rockford,IL
Prairie View A&M University - National Alumni Association,Alumni Association,Prairie View,TX
University of Texas Medical School Houston Alumni Association,Alumni Association,Houston,TX
Saint Josephs College Alumni Association,Alumni Association,Brooklyn,NY
University of West Florida Foundation Inc,Foundation,Pensacola ,FL
Keystone College Parents,Foundation,La Plume,PA
Franklin Marshall Alumni Association,Alumni Association,Lancaster,PA
"Lambda Phi Epsilon National Fraternity, Inc.",Other,New Brunswick,NJ
Saint Marys College of California,Alumni Association,Moranga,CA
"Northeast Triskelion, Inc",Other,New York,NY
Northwest College Foundation,Foundation,Powell,WY
Delta Iota House Corp.,Other,Denver,CO
Project Management Institute,Other,Newton Square,PA
Phi Kappa Sigma Intl. Fraternity,Other,Chester Springs,PA
"Phi Lota Alpha Fraternity, Inc.",Other,Brooklyn,NY
SUNYIT Alumni Association,Alumni Association,Utica,NY
Lambda Theta Phi,Other,Parsippany,NJ
Lambda Sigma Upsilon Latino Fraternity,Other,Hoboken,NJ
UMKC Bloch School of Business,University,Kansas City,MO
Morehouse School of Medicine National Alumni Association,Alumni Association,Atlanta,GA
New York Women in Communications Foundation,Foundation,New York,NY
"Phi Rho Eta Fraternity, Inc.",Other,Chicago,IL
New York Film Academy,University,New York,NY
ECSU Foundation,Foundation,Elizabeth City,NC
Florida Brass Drum & Bugle,Other,Pompano Beach,FL
Delaware Technical & Community College Educational,University,Dover,DE
UMKC School of Medicine,University,Kansas City,MO
Beta Phi Pi,Other,Forest Park,IL
UMKC School of Biological Sciences,University,Kansas City,MO
"UNIVERSITY OF MARYLAND ALUMNI ASSOCIATION, INC. and M CLUB FOUNDATION, UNIVERISTY OF MARYLAND, INC.","Alumni Association, Foundation",College Park,MD
Keystone College Keystone College Parents,Foundation,La Plume,PA
Alumni Associationof CCNY,Alumni Association,New York,NY
King's College,University,New York,NY
Phi Kappa Phi Honor Society,Other,Baton Rouge,LA
Russell Sage College Alumni Association,Alumni Association,Troy,NY
Susquehanna University,University,Selinsgrove,PA
Texas Tech University,Alumni Association,Lubbock,TX
University of North Texas Alumni Association,Alumni Association,Denton,TX
University of Texas at Tyler Foundation,University,Tyler,TX
University of Utah,University,Salt Lake City,UT
University of Colorado Boulder Alumni Association,Alumni Association,Boulder,CO
Florida International University Foundation Inc,Foundation,Miami,FL
Clemson Alumni Association,Alumni Association,Clemson,SC
Association of Graduates United States Air Force Academy,Alumni Association,Colorado Springs,CO
Virginia Tech University,Alumni Association,Blacksburg,VA
University of Maryland Alumni Association,Alumni Association,College Park,MD
Arkansas Alumni AssociationInc ,Alumni Association,Fayetteville,AR
University of Nebraska-Lincoln,Alumni Association,Lincoln,NE
University of South Florida Alumni Association,Alumni Association,Tampa,FL
Ohio University Foundation,Foundation,Athens,OH
Northern Illinois University,Alumni Association,DeKalb,IL
"California State University, Fresno ",Alumni Association,Fresno,CA
Massachusetts Institute of Technology (MIT) Alumni Association,Alumni Association,Cambridge,MA
Trustees of Boston College,University,Boston,MA
San Francisco State University,Foundation,San Francisco,CA
"California State University, Fullerton",Alumni Association,Fullerton,CA
University of Vermont-Burlington,Foundation,Burlington,VT
Western Michigan University ,Alumni Association,Kalamazoo,MI
University of Maine Alumni Association,Alumni Association,Orono,ME
Texas State Alumni Association,Alumni Association,San Marcos,TX
Alpha Delta Kappa,University,Kansas City,MO
"Pittsburg State Univesity Alumni Association, Inc. ",Alumni Association,Pittsburg,KS
U.S. Merchant Marine Academy Alumni Association,Alumni Association,Kings Point,NY
Southern Methodist University,"Alumni Association, University",Dallas,TX
Delta State University ,University,Cleveland,MS
Stonehill College Inc,University,Easton,MA
The Principia,University,St. Louis,MO
Robert Morris University Alumni Association,Alumni Association,Coraopolis,PA
Virginia Military Institute Alumni Association,Alumni Association,Lexington,VA
American Football Coaches Association,Other,Waco,TX
Keystone College,Alumni Association,La Plume,PA
University of Louisiana Monroe Alumni Association,Alumni Association,Monroe,LA
Franklin and Marshall College_Franklin and Marshall Alumni Association,University,Lancaster,PA
Worcester Polytechnic Institute Alumni Association(WPI Alumni Assn),Alumni Association,Worcester,MA
National Student Nurses Association,University,Brooklyn,NY
Kappa Psi Pharmaceutical Fraternity,Other,Richardson,TX
Valdosta State University Alumni ,Alumni Association,Valdosta,GA
Park University,University,Parkville,MO
Babson Alumni,Alumni Association,Babson Park,MA
Association for Career and Technical Education,University,Alexandria,VA
Butler University Alumni Association,Alumni Association,Indianapolis,IN
Polytechnic Institute Alumni Association,Alumni Association,New York,NY
Southeast Missouri University Foundation,Foundation,Cape Girardeau,MO
University of South Dakota Alumni Association,Foundation,Vermillion,SD
Lambda Theta Phi,University,Parsippany,NJ
St. Joseph's University,University,Philadelphia,PA
Reading Area Community College,University,Reading,PA
"Lake-Sumter Community College Foundation, Inc.",Foundation,Leesburg,FL
University of Wisconsin Foundation,Foundation,Madison,WI
University of Colorado ,University,Boulder,CO
Association of Graduates of the United States Military Academy,Alumni Association,West Point,NY
"United States Naval Academy Alumni Association, Inc.",Alumni Association,Annapolis,MD
USF Alumni Association,University,Tampa,FL
St John's University New York,University,Queens,NY
Wake Forest University,University,Winston Salem,NC
University of North Dakota Alumni Association ,Alumni Association,Grand Forks,ND
University of Utah Alumni Association Association,Alumni Association,Salt Lake City,UT
Indiana State University Foundation Inc,Foundation,Terre Haute,IN
George Mason University Alumni,Alumni Association,Fairfax,VA
U.S. Merchant Marine Academy Alumni Foundation,Alumni Association,Kings Point,NY
North Dakota State Alumni Association,Alumni Association,Fargo,ND
Old Dominion University Alumni Association ,Alumni Association,Norfolk,VA
University of Wisconsin Milwaukee Alumni Association ,Alumni Association,Milwaukee,WI
"Virginia Military Institute Alumni Association, Inc.",Alumni Association,Lexington,VA
Jacksonville State University Alumni Association ,Alumni Association,Jacksonville,AL
University of Wisconsin Oshkosh Alumni Association,Alumni Association,Oshkosh,WI
Norwich University ,Alumni Association,Northfield,VT
Bemidji State University Alumni Association ,Alumni Association,Bemidji,MN
Biola University Incorporated,University,La Mirada,CA
Kentucky Christian University,University,Grayson,KY
Valparaiso University Alumni Association,Alumni Association,Valparaiso,IN
Salisbury University Alumni Association,Alumni Association,Saisbury,MD
Blue & White Scholarship Foundation,Foundation,Bryn Mawr,PA
Harrisburg Area Community College - Harrisburg Campus,University,Harrisburg,PA
Northampton Community College,University,Bethlehem ,PA
Arizona State University,University,Tempe,AZ
University of Utah,"University, Other",Salt Lake City,UT
Alumni Associationof the University of Mississippi,Alumni Association,University,MI
University of Central Oklahoma,University,Edmond,OK
South Dakota State University Alumni Association ,Alumni Association,Brookings,SD
Weber State Alumni Association ,Alumni Association,Ogden,VT
Duquesne University Alumni Association ,Alumni Association,Pittsburgh,PA
The Alumni Association of the State University College at Potsdam,Alumni Association,Potsdam,NY
Edinboro University of Pennsylvania,University,Edinboro,PA
"	Georgia State University Alumni Association	",Alumni Association,Atlanta,GA
Columbus State University Alumni Association,Alumni Association,Columbus,GA
Southern Oregon University Foundation & Alumni Association,"Alumni Association, Foundation",Ashland,OR
University of Idaho Alumni Association,Alumni Association,Moscow,ID
"University of Nevada Las Vegas Alumni Association, Inc.",Alumni Association,Las Vegas,NV
Wilkes University,University,Wilkes-Barre,PA
The International Honor Society Beta Gamma Sigma,Other,Maryland Heights,MO
Alumni Associationof University of North Carolina Greensboro,Alumni Association,Greensboro,NC
Bryant University Alumni Association,Alumni Association,Smithfield,RI
Central Connecticut State University Alumni Association,Alumni Association,New Britain,CT
"Michigan Technological University, Michigan Constitutional University","Alumni Association, University",Houghton,MI
The University of South Alabama National Alumni Association,Alumni Association,Mobile,AL
University of Tulsa Alumni Association,Alumni Association,Tulsa,OK
Wayne State University Alumni Association,Alumni Association,Detroit ,MI
University of West Georgia,Alumni Association,Fayetteville,GA
Harrisburg Area Community College - Lancaster Campus,University,Lancaster,PA
Harrisburg Area Community College - York Campus,University,York,PA
Thaddeus Stevens College of Technology - Lancaster Campus,University,Lancaster,PA
George Mason University,Alumni Association,Fairfax,VA
Oklahoma State University Alumni Assn,Alumni Association,Stillwater,OK
"Association of Graduates of the United States Air Force Academy, Inc.",Alumni Association,Colorado Springs,CO 
Norwich University,Alumni Association,Northfield,VT
"U.S. Coast Guard Academy Alumni Association, Inc.",Alumni Association,New London,CT
Association of Graduates of the United States Military Academy or West Point Association of Graduates,Alumni Association,West Point,NY
"United States Naval Academy Alumni Association, Inc. and Naval Academy Athletic Association",Alumni Association,Annapolis,MD
Alumni Association of University of North Carolina Greensboro,Alumni Association,Greensboro,NC
Michigan Technological University a Michigan Constitutional University,University,Houghton,MI
Stephen F. Austin State University Alumni Association,Alumni Association,Nacogdoches,TX
Troy University Alumni Association,Alumni Association,Troy,AL
The University of Vermont Foundation,University,Burlington,VT
University of Missouri Saint Louis Alumni Association,Alumni Association,Saint Louis,MO
Marshall University Alumni Association,Alumni Association,Huntington ,WV
Mortar Board Inc.,University,Columbus ,OH
University of South Carolina Alumni Association,Alumni Association,Columbia,SC
Virginia Commonwealth University Alumni ,Alumni Association,Richmond,VA
Alumni Association of CCNY,Alumni Association,New York,NY
College of West Africa Alumni Association USA,Alumni Association,Bowie,MD
Colorado School of Mines,Other,Golden,CO
Regis University Alumni Associatoin,Alumni Association,Denver,CO
Worcester Polytechnic Institute Alumni Association (WPI Alumni Assn),Alumni Association,Worcester,MA
University Of South Florida,Alumni Association,Tampa,FL
Alumni Association of the University of Mississippi,Alumni Association,University,MI
Northern Illinois Alumni Association,Alumni Association,DeKalb,IL
California Southern University,University,Irvine,CA
Pensacola State College,University,Pensacola,FL
Alumni Association of the University of Oregon,Alumni Association,Eugene,OR
Ivy Tech Community College Northeast,University,Fort Wayne,IN
The University of West Georgia Foundation,Alumni Association,Carrollton,GA
Community College of Philadelphia,University,Philadelphia,PA
Northampton Community College Monroe Campus,University,Tannersville,PA
Alumni Association of the University of Michigan,Alumni Association,Ann Arbor,MI
Alumni Association of the University of Virginia,Alumni Association,Charlottesville,VA
Arkansas Alumni Association Inc ,Alumni Association,Fayetteville,AR
Auburn University,University,Auburn,AL
East Carolina University Alumni Association Inc,Alumni Association,Greenville,NC
National Alumni Association of the University of Alabama,Alumni Association,Tuscaloosa,AL
Oswego Alumni Association ,Alumni Association,Oswego,NY
UB Alumni Association Inc,Alumni Association,Buffalo,NY
University of Mary Washington Alumni Association and University of Mary Washington Foundation ,Alumni Association,Fredricksburg,VA
University of Southern Mississippi Alumni Association Inc,Alumni Association,Hattiesburg,MS
Purdue Alumni Association ,Alumni Association,West Lafayette,IN
Georgia State University Alumni Association,Alumni Association,Atlanta,GA
Auburn Spirit Foundation,University,Auburn,AL
University of Utah and CBS Collegiate Sports Properties Inc. ,"University, Other",Salt Lake City,UT
Rutgers University Foundation,Alumni Association,New Brunswick,NJ
Colorado State Alumni Association,Alumni Association,Ft. Collins,CO
University of Utah Alumni Association,Alumni Association,West Jordan,UT
Wisconsin Alumni Association (UW-Madison),Alumni Association,Madison,WI
"Falcon Sports Properties, LLC",Other,Bowling Green,OH
"Learfield Communications, Inc. on behalf of the University of Texas at Arlington",University,Arlington,TX
Association of Graduates of the United States Military Accademy,Alumni Association,West Point,NY
Michigan Technological University a Michigan Constitutional University,"Alumni Association, University",Houghton,MI
Seattle University,"Alumni Association, University",Seattle,WA
The University of Vermont Foundation,"Alumni Association, University",Burlington,VT
Lindenwood University,"Alumni Association, University",Saint Charles,MO
Webster University,"Alumni Association, University",Webster Groves,MO
Stanford Alumni Association and Stanford Department of Athletics Physical Education Recreation,Alumni Association,Stanford,CA
Utah State University,University,Ogden,UT
USF Alumni Association,Alumni Association,Tampa,FL
Eastern New Mexico University,University,Portales,NM
Mortar Board Inc.,Other,Columbus ,OH
Universidad del Turabo,University,San Juan,PR
Universidad Carlos Albizu,University,San Juan,PR
Pontificia Universidad Católica,University,San Juan,PR
Universidad Politécnica,University,San Juan,PR
Conservatorio de Música de PR,University,San Juan,PR
Universidad de Puerto Rico,University,San Juan,PR
Universidad Sagrado Corazón,University,San Juan,PR
Caribean University,University,Bayamón,PR
University of Utah and OUTFRONT MEDIA SPORTS INC.,"University, Other",Salt Lake City,UT
Loras College,Alumni Association,Dubuque,IA
University of Dubuque,University,Dubuque,IA
University of Florida,"Alumni Association, University",Gainesvile,FL
University of Texas at Arlington,University,Arlington,TX
University of West Florida,Foundation,Pensacola,FL
California Southern ,University,Pensacola,FL
University of Kentucky,University,Lexington,KY
Massachusetts Institue of Technology (MIT) Alumni Association,Alumni Association,Cambridge,MA
Mcneese State Alumni Association,Alumni Association,Lake Charles,LA
Western Illinois University Foundation ,Alumni Association,Macomb,IL
Cal State San Bernardino Alumni Association,Alumni Association,San Bernardino,CA
Cal State University East Bay Alumni Association,Alumni Association,Hayward,CA
Sonoma State University Alumni Association,Alumni Association,Rohnert,CA
"Stanford University and Stanford Alumni Association and Stanford Department of Athletics, Physical Education and Recreation",Alumni Association,Stanford,CA
Stanford Athletics,Other,Stanford,CA
Reading Area Community College,University,Lancaster,PA
West Chester University of PA,Other,West Chester,PA
Boise State University Alumni Association,Alumni Association,Boise,ID
University of Oklahoma,University,Norman,OK
George Mason University Alumni Association,Alumni Association,Fairfax,VA
Rochester College,University,Rochester,MI
"Biola University, Inc.",University,La Mirada,CA
University of Maryland Alumni Association ,Alumni Association,College Park ,MD
"JMIS Kentucky,LLC for University of Kentucky",Other,Lexington,KY
University of Wyoming Alumni Association,Alumni Association,Laramie ,WY
"University of Utah and UTES SPORTS PROPERTIES, LLC","University, Other",Salt Lake City,UT
"Stanford Alumni Association and Stanford Department of Athletics, Physical Education and Recreation",Alumni Association,Stanford,CA
Pontificia Universidad Católica de Puerto Rico,University,Ponce,PR
Universidad Politécnica de Puerto Rico,University,San Juan,PR
Universidad del Turabo,University,Gurabo,PR
Caribbean University,University,Bayamón,PR
Universidad Central del Caribe,University,Bayamón,PR
Conservatorio de Música de Puerto Rico,University,San Juan,PR
"Pittsburg State University Alumni Association, Inc. ",Alumni Association,Pittsburg,KS
University of South Florida,University,Tampa,FL
Central Penn College Education Foundation,Foundation,Summerdale,PA
University of Southern Maine Foundation,Foundation,Portland,ME
Harvard Alumni Association ,Alumni Association,Cambridge,MA
University of Florida,Alumni Association,Gainesville,FL
North Carolina State University,Alumni Association,Raleigh,NC
Georgia Tech University,Alumni Association,Atlanta,GA
Texas Tech Alumni Association ,Alumni Association,Lubbock,TX
AACS,Alumni Association,Chattanooga,TN
Southern Methodist University,Alumni Association,Dallas,TX
North Dakota State University,Alumni Association,Fargo,ND
North Texas Alumni Association ,Alumni Association,Denton,TX
Stephen F Austin Alumni Association ,Alumni Association,Nacogdoches,TX
Southern Illinois University,Alumni Association,Carbondale,IL
University of Montana,Alumni Association,Missoula,MT
University of Vermont,Alumni Association,Burlington,VT
Wayne State University,Alumni Association,Detroit,MI
North Carolina University of Greensboro,Alumni Association,Greensboro,NC
Bryant University ,Alumni Association,Smithfield,RI
Central Connecticut University ,Alumni Association,New Britain ,CT
Lindenwood University,Alumni Association,St Charles,MO
Michigan Tech University,Alumni Association,Houghton,MI
Murray State University ,Alumni Association,Murray,KY
Seattle University,Alumni Association,Seattle,WA
Southwest Oklahoma State University,Alumni Association,Weatherford,OK
University of Tulsa,Alumni Association,Tulsa,OK
Valparaiso University,Alumni Association,Valparaiso,IN
University of MO – STL,Alumni Association,St Louis,MO
University of Idaho,Alumni Association,Moscow,ID
Webster University,Alumni Association,Webster Groves,MO
Judson University,University,Elgin,IL
Rochester University (formally known as Rochester College),University,Rochester,MI
Central Michigan University,Alumni Association,Mount Pleasant,MI
William & Mary University,Alumni Association,Williamsburg,VA
Clemson Alumni Association and JMIS College LLC,Alumni Association,Clemson,SC
Georgetown University Alumni Association Inc,Alumni Association,Washington,DC
Howard University ,Alumni Association,Washington,DC
Indiana University Alumni Association Inc,Alumni Association,Bloomington,IN
"JMG JV, d/b/a Georgia Bulldogs Sports Marketing ",Other,Winston Salem,NC
Oswego Alumni Association Inc,Alumni Association,Oswego,NY
Regents of  the University of Colorado,University,Boulder,CO
State University of Iowa Foundation,Alumni Association,Iowa City,IA
The Association of Former Students of Texas AM University,Alumni Association,College Station,TX
The Foundation of the University of North Carolina at Charlotte Inc,Foundation,Charlotte,NC
The General Alumni Assoc of Univ of N Carolina at Chapel Hill,Alumni Association,Chapel Hill,NC
The George Washington University ,Alumni Association,Washington,DC
The Johns Hopkins University,University,Baltimore,MD
Trustees of the College of the Holy Cross,Alumni Association,Worcester,MA
University of Maine Alumni Association (UMAA),Alumni Association,Orono,ME
University of Southern Maine Foundation (USM),Foundation,Portland,ME
University of Wyoming Alumni Association ,Alumni Association,Laramie ,WY
Penn State Alumni Association,Alumni Association,State College,PA
